joint1,joint2,joint3,joint4,joint5,joint6,joint7
2.382042,4.030457,0.823120,3.856247,9.415771,5.114136,7.650002
2.382042,4.030457,0.823120,3.856247,9.415771,5.114136,7.650002
2.382042,4.030457,0.823120,3.856247,9.415771,5.114136,7.650002
2.382210,4.029251,0.823807,3.856247,9.415771,5.114136,7.650002
2.382210,4.029251,0.823807,3.856247,9.415771,5.114136,7.649315
2.382210,4.029251,0.823807,3.856247,9.415771,5.114136,7.649315
2.381866,4.029938,0.823978,3.856247,9.410278,5.114136,7.649315
2.381866,4.029938,0.823978,3.856247,9.410278,5.114136,7.649315
2.381866,4.029938,0.823978,3.856247,9.410278,5.114136,7.649315
2.381523,4.030113,0.824837,3.861740,9.415771,5.114136,7.649315
2.381523,4.030113,0.824837,3.861740,9.415771,5.114136,7.649147
2.381523,4.030113,0.824837,3.861740,9.415771,5.114136,7.649147
2.382729,4.029427,0.822777,3.856247,9.410278,5.114136,7.649147
2.382729,4.029427,0.822777,3.856247,9.410278,5.114136,7.651375
2.382729,4.029427,0.822777,3.856247,9.410278,5.114136,7.651375
2.382210,4.029083,0.823463,3.856247,9.410278,5.114136,7.651375
2.382210,4.029083,0.823463,3.856247,9.410278,5.114136,7.649315
